strain	date	url	mutational_fitness	epiweek	recency	pango_lineage	country	region	division	emerging_lineage	host	genbank_accession	S1_mutations	clade_membership	current_frequency	author	accession	submitting_lab	originating_lab	logistic_growth
USA/ID-UI-IIDS-U0106/2020	9/23/20		0.06	202039	Older	B.1.2	USA	North America	Idaho		Homo sapiens	OM264384	1	20G		Andrews et al		University of Idaho IIDS GBRC	Gritman Medical Center	
USA/VA-CDC-LC0012659/2021	1/31/21		0.06	202105	Older	B.1.2	USA	North America	Virginia		Homo sapiens	MW643411	1	20G		Cook et al J				
USA/OR-CDC-2-3693568/2020	11/17/20		0.09	202047	Older	B.1.2	USA	North America	Oregon		Homo sapiens	MW406617	1	20G		Queen et al G				
USA/ND-CDC-IBX264821207073/2021	3/21/21		0.08	202112	Older	B.1.2	USA	North America	North Dakota		Homo sapiens	MZ718171	1	20G		Howard et al EJ				
USA/MT-CDC-LC0008896/2021	1/21/21		0.06	202103	Older	B.1.2	USA	North America	Montana		Homo sapiens	MW640188	1	20G		Cook et al K				
USA/OR-CDC-2-3693481/2020	11/23/20		0.09	202048	Older	B.1.2	USA	North America	Oregon		Homo sapiens	MW406622	1	20G		Queen et al H				
USA/MT-CDC-LC0021956/2021	2/20/21		0.07	202107	Older	B.1.2	USA	North America	Montana		Homo sapiens	MW779821	1	20G		Cook et al L				
USA/TN-CDC-2-3877962/2021	1/26/21		0.09	202104	Older	B.1.2	USA	North America	Tennessee		Homo sapiens	MW708743	1	20G		Queen et al I				
USA/OR-QDX-3377/2020	10/23/20		0.1	202043	Older	B.1.2	USA	North America	Oregon		Homo sapiens	MW522481	2	20G		Rosenthal et al K				
USA/OK-CDC-2-3829843/2020	12/29/20		0.09	202053	Older	B.1.2	USA	North America	Oklahoma		Homo sapiens	MW708090	2	20G		Queen et al J				
USA/MS-CDC-2-3714198/2020	11/5/20		0.08	202045	Older	B.1.2	USA	North America	Mississippi		Homo sapiens	MW495951	2	20G		Queen et al K				
USA/CO-CDC-STM-000009219/2021	2/4/21		0.12	202105	Older	B.1.2	USA	North America	Colorado		Homo sapiens	MW672796	3	20G		Cook et al M				
USA/SD-SDPHL-0145/2021	2/25/21		0.13	202108	Older	B.1.2	USA	North America	South Dakota		Homo sapiens	MW873941	3	20G		Carlson et al C		South Dakota Department of Health	South Dakota Public Health Laboratory	
USA/MA-MGH-03730/2020	12/23/20		0.06	202052	Older	B.1.2	USA	North America	Massachusetts		Homo sapiens	MW687448	1	20G		Lemieux et al E		Broad Institute Genomic Center for Infectious Diseases	Massachusetts General Hospital	
USA/SC-CDC-LC0005944/2021	1/17/21		0.12	202103	Older	B.1.2	USA	North America	South Carolina		Homo sapiens	MW636430	1	20G		Cook et al N				
USA/DC-DFS-PHL-0264/2021	1/19/21		0.09	202103	Older	B.1.2	USA	North America	Washington DC		Homo sapiens	MZ487711	1	20G		Nguyen et al D				
USA/TX-DSHS-2058/2020	12/2/20		0.06	202049	Older	B.1.2	USA	North America	Texas		Homo sapiens	MW436738	3	20G		Bonser et al		Texas Department of State Health Services-SARS-CoV-2 submission group	Texas Department of State Health Services	
USA/AR-QDX-3303/2020	7/23/20		0.07	202030	Older	B.1.2	USA	North America	Arkansas		Homo sapiens	MW522370	1	20G		Rosenthal et al L				
USA/AK-PHL767/2020	7/2/20		0.07	202027	Older	B.1.2	USA	North America	Alaska		Homo sapiens	MW173168	1	20G		DeRonde et al F				
USA/MO-QDX-4514/2020	10/9/20		0.1	202041	Older	B.1.2	USA	North America	Missouri		Homo sapiens	MW566528	2	20G		Rosenthal et al M				
USA/AR-CDC-2-3693771/2020	10/29/20		0.1	202044	Older	B.1.2	USA	North America	Arkansas		Homo sapiens	MW406520	1	20G		Queen et al L				
USA/IN-CDC-LC0008734/2021	1/21/21		0.09	202103	Older	B.1.2	USA	North America	Indiana		Homo sapiens	MW640097	1	20G		Cook et al O				
USA/FL-BPHL-1169/2020	8/19/20		0.06	202034	Older	B.1.2	USA	North America	Florida		Homo sapiens	MT956779	1	20G		Schmedes et al C		FLDOH	Florida Bureau of Public Health Laboratories	
USA/2103300331/2021	3/30/21		0.09	202113	Older	B.1.2	USA	North America	New Hampshire		Homo sapiens	MZ798958	2	20G		Benton et al A				
USA/KY-CDC-LC0042621/2021	4/5/21		0.07	202114	Older	B.1.2	USA	North America	Kentucky		Homo sapiens	MZ038338	1	20G		Howard et al EK				
USA/NE-CDC-LC0003660/2021	1/10/21		0.07	202102	Older	B.1.2	USA	North America	Nebraska		Homo sapiens	MW638343	1	20G		Cook et al P				
USA/IL-CDC-LC0005593/2021	1/15/21		0.08	202102	Older	B.1.2	USA	North America	Illinois		Homo sapiens	MW636310	1	20G		Cook et al Q				
USA/FL-BPHL-2372/2020	10/16/20		0.07	202042	Older	B.1.2	USA	North America	Florida		Homo sapiens	MW490965	1	20G		Schmedes et al D		FLDOH	Florida Bureau of Public Health Laboratories	
USA/VA_NIDDL_29800/2020	11/4/20		0.06	202045	Older	B.1.2	USA	North America	Virginia		Homo sapiens	MW974594	1	20G		Voegtly et al M				
USA/GA-EHC-834D/2020	9/6/20		0.08	202037	Older	B.1.2	USA	North America	Georgia		Homo sapiens	MZ312997	1	20G		Piantadosi et al B				
USA/KY-QDX-4444/2020	11/12/20		0.06	202046	Older	B.1.2	USA	North America	Kentucky		Homo sapiens	MW566512	1	20G		Rosenthal et al N				
USA/UND-00036018/2020	12/3/20		0.08	202049	Older	B.1.2	USA	North America	Indiana		Homo sapiens	MZ518358	2	20G		Pfrender et al				
USA/MI-MDHHS-SC26148/2020	11/13/20		0.05	202046	Older	B.1.2	USA	North America	Michigan		Homo sapiens	OL905914	1	20G		Blankenship et al B				
USA/MP-CDC-2-3998396/2021	2/20/21		0.07	202107	Older	B.1.2	USA	North America	Northern Mariana Islands		Homo sapiens	MZ779755	1	20G		Sheth et al N				
USA/MP-CDC-2-3998467/2021	2/20/21		0.07	202107	Older	B.1.2	USA	North America	Northern Mariana Islands		Homo sapiens	MZ779757	1	20G		Sheth et al O				
USA/1423503/2020	11/12/20		0.08	202046	Older	B.1.2	USA	North America	Iowa		Homo sapiens	ON116197	1	20G		Reeb et al E		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	
USA/WY-CDC-IBX369365469071/2021	4/7/21		0.19	202114	Older	B.1.2	USA	North America	Wyoming		Homo sapiens	OK220752	3	20G		Howard et al EL				
USA/NE-Noblis-S23B15/2020	10/13/20		0.07	202042	Older	B.1.2	USA	North America	Nebraska		Homo sapiens	MZ267370	1	20G		Brinkac et al B		Noblis		
USA/WA-S9087/2020	11/23/20		0.06	202048	Older	B.1.2	USA	North America	Washington		Homo sapiens	MZ469179	1	20G		Nickerson et al I		Seattle Flu Study submission group	Seattle Flu Study	
USA/ME-CDC-2-4195191/2021	1/2/21		0.14	202053	Older	B.1.2	USA	North America	Maine		Homo sapiens	MZ028743	1	20G		Sheth et al P				
USA/DC-CDC-LC0015061/2021	2/9/21		0.13	202106	Older	B.1.2	USA	North America	Washington DC		Homo sapiens	MW705874	1	20G		Cook et al R				
USA/KS-CDC-2-4177038/2021	3/23/21		0.07	202112	Older	B.1.2	USA	North America	Kansas		Homo sapiens	MZ780203	1	20G		Sheth et al Q				
USA/TN-CDC-2-4011863/2021	2/4/21		0.11	202105	Older	B.1.2	USA	North America	Tennessee		Homo sapiens	MW792652	2	20G		Queen et al M				
USA/KY-CDC-LC0038912/2021	3/30/21		0.13	202113	Older	B.1.2	USA	North America	Kentucky		Homo sapiens	MZ002937	2	20G		Howard et al EM				
USA/TX-DSHS-2243/2020	12/27/20		-0.05	202053	Older	B.1.2	USA	North America	Texas		Homo sapiens	MW535215	1	20G		Pokharel et al		Texas Department of State Health Services-SARS-CoV-2 submission group	Texas Department of State Health Services	
USA/JDZC/2020	10/27/20		0.06	202044	Older	B.1.2	USA	North America	Alabama		Homo sapiens	MW923900	1	20G		Grimwood et al B				
USA/GA-CDC-STM-000016746/2021	2/16/21		0.08	202107	Older	B.1.2	USA	North America	Georgia		Homo sapiens	MW777876	1	20G		Cook et al S				
USA/MI-MDHHS-SC26100/2020	12/5/20		0.07	202049	Older	B.1.2	USA	North America	Michigan		Homo sapiens	OL905932	1	20G		Blankenship et al C				
USA/MA-Broad_CRSP-00358/2021	1/8/21		0.06	202101	Older	B.1.2	USA	North America	Massachusetts		Homo sapiens	MW599498	1	20G		Lemieux et al F		Broad Institute Genomic Center for Infectious Diseases	Broad Institute Clinical Research Sequencing Platform	
USA/PA-CDC-2-3693775/2020	11/5/20		0.09	202045	Older	B.1.2	USA	North America	Pennsylvania		Homo sapiens	MW406501	1	20G		Queen et al N				
USA/NYI-734-20-1/2020	10/23/20		0.09	202043	Older	B.1.2	USA	North America	New York		Homo sapiens	MZ448879	1	20G		Mitchell et al C				
USA/MN-MDH-3071/2021	2/11/21		0.16	202106	Older	B.1.2	USA	North America	Minnesota		Homo sapiens	MW719480	1	20G		Lorentz et al				
USA/TN-VUMC-000170/2020	11/25/20		0.07	202048	Older	B.1.2	USA	North America	Tennessee		Homo sapiens	OK372290	1	20G		Vestal et al		Vanderbilt University Medical Center	Vanderbilt University Medical Center - Suman R. Das Lab	
USA/IN-CDC-LC0009054/2021	1/20/21		0.13	202103	Older	B.1.2	USA	North America	Indiana		Homo sapiens	MW640270	2	20G		Cook et al T				
USA/IL-BIE-COILL04/2020	11/2/20		0.09	202045	Older	B.1.2	USA	North America	Illinois		Homo sapiens	MZ363716	1	20G		Hagarty et al				
USA/GU-CDC-2-3906151/2021	1/14/21		0.08	202102	Older	B.1.2	USA	North America	Guam		Homo sapiens	MW766867	1	20G		Queen et al O				
USA/WI-UW-2523/2020	12/30/20		0.09	202053	Older	B.1.2	USA	North America	Wisconsin		Homo sapiens	MW486321	1	20G		Moreno et al I				
USA/TN-SPHL-1220/2021	1/21/21		0.13	202103	Older	B.1.2	USA	North America	Tennessee		Homo sapiens	OL964698	1	20G		Selinsky et al A		FDA CVM NARMS - Tennesse DOH	Tennessee Department of Health Laboratory Services	
USA/NE-CDC-2-3850523/2021	1/25/21		0.09	202104	Older	B.1.2	USA	North America	Nebraska		Homo sapiens	MW708534	1	20G		Queen et al P				
USA/OK-CDC-LC0035079/2021	3/23/21		0.08	202112	Older	B.1.2	USA	North America	Oklahoma		Homo sapiens	MW903790	1	20G		Howard et al EN				
USA/ND-CDC-2-4069013/2021	1/2/21		0.1	202053	Older	B.1.2	USA	North America	North Dakota		Homo sapiens	MW708915	1	20G		Queen et al Q				
USA/COVID20-0076/2020	4/17/20		-0.03	202016	Older	B.1.334	USA	North America	South Carolina		Homo sapiens	MT764180	1	20C		Flores et al B				
USA/IL-QDX-1103/2020	3/19/20		-0.03	202012	Older	B.1	USA	North America	Illinois		Homo sapiens	MW065143	1	20C		Rosenthal et al O		Quest Diagnostics	Quest Diagnostics	
USA/IL-UW-553/2020	6/21/20		-0.02	202026	Older	B.1.578	USA	North America	Illinois		Homo sapiens	MT750133	1	20C		Moreno et al J				
USA/OK-QDX-430/2020	3/19/20		-0.03	202012	Older	B.1	USA	North America	Oklahoma		Homo sapiens	MW064552	1	20C		Rosenthal et al P		Quest Diagnostics	Quest Diagnostics	
USA/TG569498/2020	7/10/20		-0.03	202028	Older	B.1.516	USA	North America	Arizona		Homo sapiens	MZ906925	1	20C		Bowers et al F		The Translational Genomics Research Institute COVID submission group	ADHS	
USA/MD-MDH-0056/2020	5/26/20		0.01	202022	Older	B.1.328	USA	North America	Maryland		Homo sapiens	MT827222	1	20C		Keller et al D				
USA/AK153/2020	4/7/20		-0.03	202015	Older	B.1.38	USA	North America	Alaska		Homo sapiens	MT477857	1	20C		DeRonde et al G				
USA/CO-QDX-3318/2020	8/5/20		-0.03	202032	Older	B.1.570	USA	North America	Colorado		Homo sapiens	MW522382	2	20C		Rosenthal et al Q				
USA/CA-CZB-5759/2020	7/17/20		-0.03	202029	Older	B.1.267	USA	North America	California		Homo sapiens	MW483418	1	20C		Bhatt et al		Chan Zuckerberg Biohub	County of San Luis Obispo Public Health Laboratory	
USA/TG670167/2020	4/30/20		-0.03	202018	Older	B.1	USA	North America	Arizona		Homo sapiens	MZ906361	1	20C		Bowers et al G		The Translational Genomics Research Institute COVID submission group	Sonora Quest Laboratories	
USA/UT-UPHL-201010360/2020	7/6/20		-0.01	202028	Older	B.1.108	USA	North America	Utah		Homo sapiens	MW181478	1	20C		Young et al A		Utah Public Health Laboratory Infectious Disease submission group	Utah Public Health Laboratory	
USA/UT-UPHL-201016626/2020	7/6/20		-0.01	202028	Older	B.1.108	USA	North America	Utah		Homo sapiens	MW181502	1	20C		Young et al B		Utah Public Health Laboratory Infectious Disease submission group	Utah Public Health Laboratory	
USA/KY-CDC-2-3850641/2021	1/25/21		0.23	202104	Older	B.1	USA	North America	Kentucky		Homo sapiens	MZ779400	5	20C		Sheth et al R				
USA/CT-CDC-QDX22524938/2021	2/27/21		0.23	202108	Older	B.1.623	USA	North America	Connecticut		Homo sapiens	MW975774	4	20C		Howard et al EO				
USA/OSPHL01470/2020	5/1/20		-0.03	202018	Older	B.1	USA	North America	Oregon		Homo sapiens	MZ682062	1	20C		Razzaque et al C				
USA/MA-MGH-01121/2020	5/2/20		0.01	202018	Older	B.1	USA	North America	Massachusetts		Homo sapiens	MT873396	1	20C		Lemieux et al G			Massachusetts Department of Public Health	
USA/SEARCH-1086-SAN/2020	6/23/20		-0.03	202026	Older	B.1	USA	North America	California		Homo sapiens	MT811518	1	20C		SEARCH Alliance et al		The Scripps Research Institute	UC San Diego Center for Advanced Laboratory Medicine	
USA/VSP0327/2020	8/26/20		-0.01	202035	Older	B.1.340	USA	North America	Pennsylvania		Homo sapiens	OK245582	2	20C		Marques et al				
USA/MD-NIH-00020/2020	8/17/20		-0.01	202034	Older	B.1.576	USA	North America	Maryland		Homo sapiens	MW681014	1	20C		Roder et al				
USA/ND-NDDH-0015/2020	5/2/20		-0.03	202018	Older	B.1	USA	North America	North Dakota		Homo sapiens	MW471396	1	20C		Wingerter et al B				
USA/KS-QDX-3351/2020	9/27/20		-0.03	202040	Older	B.1.612	USA	North America	Kansas		Homo sapiens	MW522413	1	20C		Rosenthal et al R				
USA/MN-MDH-1975/2020	10/22/20		-0.04	202043	Older	B.1.612	USA	North America	Minnesota		Homo sapiens	MW246618	1	20C		Plumb et al B				
USA/NH-CDC-2-3714182/2020	11/6/20		0.06	202045	Older	B.1.361	USA	North America	New Hampshire		Homo sapiens	MW495978	1	20C		Queen et al R				
USA/CUIMC-NP-3005/2020	8/27/20		0.01	202035	Older	B.1	USA	North America	New York		Homo sapiens	MZ681416	2	20C		Annavajhala et al B				
USA/ME-CDC-QDX24981092/2021	5/11/21		0.38	202119	Older	B.1.526	USA	North America	Maine		Homo sapiens	MZ321322	5	21F (Iota)		Howard et al EP				
USA/ME-CDC-2-4567196/2021	6/8/21		0.36	202123	Older	B.1.526	USA	North America	Maine		Homo sapiens	MZ511663	4	21F (Iota)		Sheth et al S				
USA/MA-CDC-ASC210025878/2021	3/29/21		0.31	202113	Older	B.1.526	USA	North America	Massachusetts		Homo sapiens	MZ158828	3	21F (Iota)		Howard et al EQ				
USA/IN-CDC-LC0042262/2021	4/1/21		0.39	202113	Older	B.1.526	USA	North America	Indiana		Homo sapiens	MZ037657	4	21F (Iota)		Howard et al ER				
USA/DE-CDC-ASC210003424/2021	3/9/21		0.39	202110	Older	B.1.526	USA	North America	Delaware		Homo sapiens	OK295686	4	21F (Iota)		Howard et al ES				
USA/NJ-CDC-LC0035971/2021	3/24/21		0.39	202112	Older	B.1.526	USA	North America	New Jersey		Homo sapiens	MZ000472	4	21F (Iota)		Howard et al ET				
USA/OK-CDC-ASC210005030/2021	3/14/21		0.39	202111	Older	B.1.526	USA	North America	Oklahoma		Homo sapiens	MZ256295	4	21F (Iota)		Howard et al EU				
USA/NY-CDC-LC0019157/2021	2/15/21		0.39	202107	Older	B.1.526	USA	North America	New York		Homo sapiens	MW985674	4	21F (Iota)		Howard et al EV				
USA/MN-MDH-1759/2020	4/11/20		-0.03	202015	Older	B.1	USA	North America	Minnesota		Homo sapiens	MW136827	1	20C		Plumb et al C				
USA/KY-CDC-LC0002174/2020	12/28/20		0.01	202053	Older	B.1	USA	North America	Kentucky		Homo sapiens	MW635021	1	20C		Cook et al U				
USA/NC-CDC-LC0001424/2020	12/28/20		0.04	202053	Older	B.1.311	USA	North America	North Carolina		Homo sapiens	MW634676	1	20C		Cook et al V				
USA/MO-QDX-4435/2020	11/14/20		0.03	202046	Older	B.1.311	USA	North America	Missouri		Homo sapiens	MW566518	1	20C		Rosenthal et al S				
USA/MN-CDC-IBX282814885985/2021	3/25/21		0.06	202112	Older	B.1.311	USA	North America	Minnesota		Homo sapiens	OK220798	2	20C		Howard et al EW				
USA/COVID20-1139/2020	7/10/20		-0.02	202028	Older	B.1	USA	North America	South Carolina		Homo sapiens	MW067814	1	20C		Flores et al C				
USA/KY-QDX-3309/2020	7/10/20		-0.03	202028	Older	B.1	USA	North America	Kentucky		Homo sapiens	MW522420	1	20C		Rosenthal et al T				
USA/CT-CDC-2-4058090/2020	11/30/20		0.07	202049	Older	B.1.517	USA	North America	Connecticut		Homo sapiens	MW850154	2	20C		Sheth et al T				
USA/ME-CDC-2-3920719/2020	12/26/20		0.06	202052	Older	B.1.517	USA	North America	Maine		Homo sapiens	MW730916	2	20C		Queen et al S				
USA/FL-BPHL-0101/2020	4/27/20		-0.03	202018	Older	B.1	USA	North America	Florida		Homo sapiens	MT577627	1	20C		Schmedes et al E		FLDOH	Florida Bureau of Public Health Laboratories	
USA/CA-CZB-14068/2020	6/24/20		-0.03	202026	Older	B.1.453	USA	North America	California		Homo sapiens	MW565582	1	20C		Consortium et al A		CZ Biohub	Alameda County Public Health Lab	
USA/VA_NIDDL_8353/2020	6/17/20		-0.03	202025	Older	B.1.451	USA	North America	Virginia		Homo sapiens	MW976945	1	20C		Voegtly et al N				
USA/WV118693/2020	5/4/20		-0.03	202019	Older	B.1	USA	North America	West Virginia		Homo sapiens	MZ497591	1	20C		Denvir et al F				
USA/OR-QDX-3525/2020	9/15/20		0.03	202038	Older	B.1.453	USA	North America	Oregon		Homo sapiens	MW521777	1	20C		Rosenthal et al U				
USA/MA-MGH-03386/2020	11/9/20		0.04	202046	Older	B.1.433	USA	North America	Massachusetts		Homo sapiens	MW454697	1	20C		Lemieux et al H		Broad Institute of Harvard and MIT	Massachusetts General Hospital	
USA/RI-Broad_RIDOH-00004/2020	10/26/20		0.07	202044	Older	B.1.375	USA	North America	Rhode Island		Homo sapiens	MW521591	2	20C		Lemieux et al I		Broad Institute Genomic Center for Infectious Diseases	Rhode Island Department of Health	
USA/RI-Broad_RIDOH-00045/2020	11/30/20		0.07	202049	Older	B.1.375	USA	North America	Rhode Island		Homo sapiens	MW521618	2	20C		Lemieux et al J		Broad Institute Genomic Center for Infectious Diseases	Rhode Island Department of Health	
USA/ME-CDC-QDX25249559/2021	5/22/21		0.42	202120	Older	B.1.637	USA	North America	Maine		Homo sapiens	MZ354013	5	20C		Howard et al EX				
USA/MI-CDC-QDX25848379/2021	6/11/21		0.43	202123	Older	B.1.637	USA	North America	Michigan		Homo sapiens	MZ538419	4	20C		Howard et al EY		CDC-OAMD	Quest Diagnostics Incorporated	
USA/VA-CDC-QDX23320090/2021	3/25/21		0.42	202112	Older	B.1.637	USA	North America	Virginia		Homo sapiens	MW890590	7	20C		Howard et al EZ				
USA/DC-CDC-2-4195359/2021	3/21/21		0.41	202112	Older	B.1.637	USA	North America	Washington DC		Homo sapiens	MZ028840	6	20C		Sheth et al U				
USA/AZ-CDC-STM-000014248/2021	2/12/21		0.16	202106	Older	B.1.427	USA	North America	Arizona		Homo sapiens	MW767280	3	21C (Epsilon)		Cook et al W				
USA/AR-CDC-FG-011742/2021	3/13/21		0.15	202110	Older	B.1.427	USA	North America	Arkansas		Homo sapiens	MW859813	5	21C (Epsilon)		Howard et al FA				
USA/UT-CDC-ASC210058726/2021	5/4/21		0.16	202118	Older	B.1.427	USA	North America	Utah		Homo sapiens	MZ238425	3	21C (Epsilon)		Howard et al FB				
USA/WA-S3736/2020	12/21/20		0.12	202052	Older	B.1.429	USA	North America	Washington		Homo sapiens	MW549247	3	21C (Epsilon)		Nickerson et al J		Seattle Flu Study submission group	Seattle Flu Study	
USA/NMDOH-2021058545/2021	2/13/21		0.12	202106	Older	B.1.429	USA	North America	New Mexico		Homo sapiens	MW681549	3	21C (Epsilon)		Johnson et al C		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	
USA/TN-CDC-LC0003616/2021	1/11/21		0.15	202102	Older	B.1.429	USA	North America	Tennessee		Homo sapiens	MW638324	4	21C (Epsilon)		Cook et al X				
USA/NV-CDC-2-4634153/2021	3/5/21		0.17	202109	Older	B.1.429	USA	North America	Nevada		Homo sapiens	MZ666521	3	21C (Epsilon)		Sheth et al V				
USA/PA-CDC-STM-000023332/2021	2/24/21		0.13	202108	Older	B.1.429	USA	North America	Pennsylvania		Homo sapiens	MW758688	3	21C (Epsilon)		Cook et al Y				
USA/UT-CDC-LC0033969/2021	3/18/21		0.14	202111	Older	B.1.429	USA	North America	Utah		Homo sapiens	OK232703	3	21C (Epsilon)		Howard et al FC				
USA/AK-PHL7794/2021	3/29/21		0.14	202113	Older	B.1.429	USA	North America	Alaska		Homo sapiens	MZ246566	3	21C (Epsilon)		DeRonde et al H				
USA/OR-CDC-ASC210026624/2021	3/29/21		0.14	202113	Older	B.1.429	USA	North America	Oregon		Homo sapiens	MZ024204	3	21C (Epsilon)		Howard et al FD				
USA/MA-MGH-01195/2020	5/4/20		0.05	202019	Older	B.1.390	USA	North America	Massachusetts		Homo sapiens	MT873307	3	20A		Lemieux et al K			Massachusetts Department of Public Health	
USA/MI-MDHHS-SC21001/2020	6/11/20		-0.01	202024	Older	B.1	USA	North America	Michigan		Homo sapiens	OL816652	1	20A		Blankenship et al D				
USA/TN-QDX-2517/2020	3/14/20		0.03	202011	Older	B.1	USA	North America	Tennessee		Homo sapiens	MW191277	1	20A		Rosenthal et al V		Quest Diagnostics	Quest Diagnostics	
USA/NM-QDX-263/2020	4/30/20		0.04	202018	Older	B.1	USA	North America	New Mexico		Homo sapiens	MT806795	1	20A		Rosenthal et al W				
USA/CA-CZB-13311/2020	11/2/20		0.08	202045	Older	B.1.399	USA	North America	California		Homo sapiens	MZ842445	2	20A		Consortium et al B		Chan Zuckerberg Biohub	Santa Clara County Public Health Laboratory	
USA/OK-QDX-750/2020	3/16/20		0.03	202012	Older	B.1	USA	North America	Oklahoma		Homo sapiens	MW064850	1	20A		Rosenthal et al X		Quest Diagnostics	Quest Diagnostics	
USA/PA-UW-547/2020	6/22/20		0.05	202026	Older	B.1.139	USA	North America	Pennsylvania		Homo sapiens	MT750127	1	20A		Moreno et al K				
USA/1213603/2020	9/1/20		0.06	202036	Older	B.1.565	USA	North America	Iowa		Homo sapiens	ON184830	1	20A		Reeb et al F		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	
USA/NE-CDC-LC0000092/2020	12/24/20		0.05	202052	Older	B.1.565	USA	North America	Nebraska		Homo sapiens	MW634058	2	20A		Cook et al Z				
USA/MI-MDHHS-SC21979/2020	8/15/20		0.06	202033	Older	B.1.139	USA	North America	Michigan		Homo sapiens	OL817299	1	20A		Blankenship et al E				
USA/WI-UW-757/2020	7/4/20		0.06	202027	Older	B.1.139	USA	North America	Wisconsin		Homo sapiens	MT795872	1	20A		Moreno et al L				
USA/WI-UW-666/2020	6/26/20		0.06	202026	Older	B.1.139	USA	North America	Wisconsin		Homo sapiens	MT772443	1	20A		Moreno et al M				
USA/NJ-UW-755/2020	7/7/20		0.06	202028	Older	B.1.139	USA	North America	New Jersey		Homo sapiens	MT795870	1	20A		Moreno et al N				
USA/NY-UW-641/2020	6/28/20		0.06	202027	Older	B.1.139	USA	North America	New York		Homo sapiens	MT772418	1	20A		Moreno et al O				
USA/UT-UPHL-201025349/2020	6/22/20		0.04	202026	Older	B.1.554	USA	North America	Utah		Homo sapiens	MW181543	1	20A		Young et al C		Utah Public Health Laboratory Infectious Disease submission group	Utah Public Health Laboratory	
USA/UT-UPHL-201109604/2020	10/12/20		0.06	202042	Older	B.1.400	USA	North America	Utah		Homo sapiens	MW241373	2	20A		Young et al D		Utah Public Health Laboratory Infectious Disease submission group	Utah Public Health Laboratory	
USA/Oklahoma-ADDL-1/2020	4/10/20		0.04	202015	Older	B.1.243	USA	North America	Oklahoma		Homo sapiens	MT998442	1	20A		Narayanan et al				
USA/CA-CZB-16055/2020	11/29/20		0.06	202049	Older	B.1.243	USA	North America	California		Homo sapiens	MW653558	1	20A		Consortium et al C		CZ Biohub	Renegade	
USA/NV-QDX-3361/2020	9/29/20		0.09	202040	Older	B.1.243	USA	North America	Nevada		Homo sapiens	MW522454	1	20A		Rosenthal et al Y				
USA/GU-CDC-2-3847017/2020	11/27/20		0.06	202048	Older	B.1.243	USA	North America	Guam		Homo sapiens	MW766892	2	20A		Queen et al T				
USA/MP-CDC-2-3831027/2020	9/1/20		0.06	202036	Older	B.1.243	USA	North America	Northern Mariana Islands		Homo sapiens	MZ779313	2	20A		Sheth et al W				
USA/PA-M20153468/2020	12/4/20		0.06	202049	Older	B.1.243	USA	North America	Pennsylvania		Homo sapiens	MZ819934	2	20A		Xia et al A		PA Department of Health Bureau of Laboratories Submission Group	Pennsylvania Department of Health Bureau of Laboratories	
USA/MS-CDC-LC0017360/2021	2/15/21		0.06	202107	Older	B.1.243	USA	North America	Mississippi		Homo sapiens	MW706833	2	20A		Cook et al AA				
USA/NYI-NA-20-125/2020	8/31/20		0.04	202036	Older	B.1	USA	North America	New York		Homo sapiens	MZ448773	1	20A		Mitchell et al D				
USA/MN-MDH-1516/2020	7/6/20		0.04	202028	Older	B.1.241	USA	North America	Minnesota		Homo sapiens	MT958213	1	20A		Plumb et al D				
USA/MN-MDH-1523/2020	7/14/20		0.04	202029	Older	B.1.241	USA	North America	Minnesota		Homo sapiens	MT958220	1	20A		Plumb et al E				
USA/COVID20-1150/2020	7/10/20		0.13	202028	Older	B.1	USA	North America	South Carolina		Homo sapiens	MW067750	1	20A		Flores et al D				
USA/MN-CDC-2-3714175/2020	11/13/20		0.04	202046	Older	B.1	USA	North America	Minnesota		Homo sapiens	MW495936	1	20A		Queen et al U				
USA/NE-CDC-LC0000326/2020	12/26/20		0	202052	Older	B.1	USA	North America	Nebraska		Homo sapiens	MW634160	1	20A		Cook et al AB				
USA/WA-S3501/2020	12/3/20		0.04	202049	Older	B.1.234	USA	North America	Washington		Homo sapiens	MW548887	1	20A		Nickerson et al K		Seattle Flu Study submission group	Seattle Flu Study	
USA/MO-CDC-2-3693556/2020	11/2/20		0.05	202045	Older	B.1.234	USA	North America	Missouri		Homo sapiens	MW406593	1	20A		Queen et al V				
USA/AK-PHL7683/2021	3/17/21		0.05	202111	Older	B.1.234	USA	North America	Alaska		Homo sapiens	MZ246503	1	20A		DeRonde et al I				
USA/KY-CDC-2-3714568/2020	12/2/20		0.03	202049	Older	B.1.234	USA	North America	Kentucky		Homo sapiens	MW496107	1	20A		Queen et al W				
USA/MA-CDC-4014019-001/2020	12/2/20		0.04	202049	Older	B.1.234	USA	North America	Massachusetts		Homo sapiens	MW863690	2	20A		Tao et al B				
USA/TN-CDC-LC0020179/2021	2/21/21		0.04	202108	Older	B.1.234	USA	North America	Tennessee		Homo sapiens	MW734544	1	20A		Cook et al AC				
USA/NM-UNM-TC217282/2020	7/14/20		0.04	202029	Older	B.1	USA	North America	New Mexico		Homo sapiens	OL706963	1	20A		Domman et al C		The University of New Mexico Health Sciences Center	TriCore Reference Laboratories	
